symbol,split,entry_time,exit_time,net_return,gross_return,net_pnl,entry_notional
MARUTI.NS,validation,2023-12-13,2023-12-27,-0.010892572541552665,-0.008390447633326277,-225.8069501125017,20730.36
ESCORTS.NS,validation,2023-12-22,2024-01-05,-0.06399194273678203,-0.0617604941051772,-1528.891656350632,23891.94
PVRINOX.NS,validation,2023-12-27,2024-01-09,-0.06636238840366429,-0.06409272868065066,-1549.5398032749995,23349.668999999998
EICHERMOT.NS,validation,2024-01-03,2024-01-16,-0.02986790920798821,-0.027589683214764776,-698.1917212584923,23375.982443115234
ASTRAL.NS,validation,2024-01-09,2024-01-23,-0.02994668048037441,-0.02769190978576821,-709.7496136763831,23700.443664916995
BATAINDIA.NS,validation,2024-01-10,2024-01-24,-0.07079318113053176,-0.06854238197650342,-1670.137862663468,23591.79
ASIANPAINT.NS,validation,2024-01-24,2024-02-07,-0.02783999906140893,-0.025636526273227926,-680.7497818493647,24452.22
BATAINDIA.NS,validation,2024-01-25,2024-02-08,-0.03414384229109314,-0.031967234724621894,-847.8738907477642,24832.41
AUROPHARMA.NS,validation,2024-02-08,2024-02-21,0.03440079308897295,0.03664800894245839,828.0969232615495,24072.03
BANDHANBNK.NS,validation,2024-02-09,2024-02-22,-0.06075714021804187,-0.058589483487016106,-1509.9619666976682,24852.420000000002
BSOFT.NS,validation,2024-02-27,2024-03-12,-0.030054427781958812,-0.027836114734376093,-728.0115749045192,24223.105499999998
LALPATHLAB.NS,validation,2024-02-28,2024-03-13,-0.15456103075518715,-0.15242336336538603,-3848.4177727435804,24899.01726159668
ABFRL.NS,validation,2024-03-13,2024-03-27,-0.04500577581371875,-0.0428310445862869,-1116.7373503634628,24813.200754180907
AARTIIND.NS,validation,2024-03-14,2024-03-28,0.07659821871419296,0.07881844435765206,1888.3237991722735,24652.32
INFY.NS,validation,2024-03-28,2024-04-12,-0.00536500566879088,-0.003110672314239566,-127.72092152767365,23806.29759082031
CIPLA.NS,validation,2024-04-16,2024-04-30,0.00713346841671408,0.009314837166254272,177.9262863124964,24942.465000000004
COFORGE.NS,validation,2024-04-18,2024-05-02,-0.05000004203184666,-0.04777632425843191,-1203.042203230648,24060.8238381958
APOLLOHOSP.NS,validation,2024-05-02,2024-05-15,-0.020254058108401033,-0.01800358267222157,-482.0525496395374,23800.29459082031
HCLTECH.NS,validation,2024-05-03,2024-05-16,-0.01961546621503901,-0.01742422628857214,-483.9592555612934,24672.329999999998
AARTIIND.NS,validation,2024-05-16,2024-05-30,0.007879617777656394,0.010071820544192076,195.24457742063012,24778.432524261472
CUB.NS,validation,2024-05-22,2024-06-04,-0.07512269757187397,-0.07296729739562212,-1876.451024213195,24978.483
DEEPAKNTR.NS,validation,2024-05-31,2024-06-13,0.09198489237534306,0.0942389774462308,2227.2487455156493,24213.201624755857
ATUL.NS,validation,2024-06-05,2024-06-19,0.13353881196605177,0.1359768108646408,2928.6343436750026,21930.96
TITAN.NS,validation,2024-07-08,2024-07-22,0.011861387104455454,0.014223069869778992,266.1602035737163,22439.214
AUBANK.NS,validation,2024-07-09,2024-07-23,0.01733442311277674,0.019552053050918658,423.5633657999488,24434.811764099122
ABB.NS,validation,2024-07-23,2024-08-05,-0.04250649026006724,-0.04022723797104127,-990.9325971716756,23312.50101123047
BAJFINANCE.NS,validation,2024-07-24,2024-08-06,-0.017502397410489062,-0.01530202176335124,-429.5659865321456,24543.2655
ABCAPITAL.NS,validation,2024-08-06,2024-08-20,0.04610104270990915,0.04829361785889847,1149.873644255414,24942.465
ACC.NS,validation,2024-08-07,2024-08-21,-0.026676947195163603,-0.024428997039304505,-635.1754313775447,23809.89948852539
ZYDUSLIFE.NS,validation,2024-08-27,2024-09-09,-0.030806983093185202,-0.02863909508712758,-769.634993020753,24982.485
IDEA.NS,validation,2024-09-03,2024-09-16,-0.1266334033650426,-0.12449341970069273,-3164.3013422939002,24987.888331266407
ADANIPORTS.NS,out_of_sample,2024-09-10,2024-09-23,0.008188601576932842,0.010400897112005899,200.41791925669634,24475.231499999998
GRANULES.NS,validation,2024-09-17,2024-09-30,0.01376294258558282,0.01596082761961747,340.183503325112,24717.3525
ATUL.NS,out_of_sample,2024-09-24,2024-10-08,0.021282962361372084,0.02361118218754131,487.46168412853405,22903.845613769532
AUROPHARMA.NS,out_of_sample,2024-10-01,2024-10-15,0.013495621310944006,0.015691466142734044,333.9811002227631,24747.3675
ASHOKLEY.NS,out_of_sample,2024-10-09,2024-10-22,-0.03734195782582008,-0.03517594916530993,-932.8949012541827,24982.485
JINDALSTEL.NS,out_of_sample,2024-10-17,2024-10-30,-0.045312859922709704,-0.043146831172526365,-1130.3957647375003,24946.467
AUBANK.NS,validation,2024-10-23,2024-11-05,-0.04229467847725978,-0.0401256884397648,-1053.7275365695352,24913.95075
CIPLA.NS,out_of_sample,2024-10-31,2024-11-13,-0.0385159570080706,-0.03634969571168555,-961.869824342529,24973.281181640625
HINDALCO.NS,out_of_sample,2024-11-08,2024-11-25,0.004094580621073519,0.0062782669151893004,101.92615074919098,24892.94025
AARTIIND.NS,out_of_sample,2024-11-14,2024-11-29,0.04122734927121076,0.04342161740848893,1026.3318140185493,24894.441
ADANIENT.NS,out_of_sample,2024-11-26,2024-12-09,0.09776911138813987,0.09997708600027616,2437.781072791777,24934.06187475586
HDFCLIFE.NS,validation,2024-12-03,2024-12-16,-0.021988651614063826,-0.019792710067001187,-540.716087563608,24590.68873590088
GODREJCP.NS,out_of_sample,2024-12-10,2024-12-23,-0.05337186599404447,-0.05120338061057973,-1327.4880009062515,24872.43
NTPC.NS,out_of_sample,2024-12-17,2024-12-31,-0.056584677441519134,-0.054402752892269396,-1394.943575385111,24652.32
CANFINHOME.NS,out_of_sample,2024-12-24,2025-01-07,-0.02306377796914145,-0.02088166308906507,-571.9054116939077,24796.69256524658
DEEPAKNTR.NS,out_of_sample,2025-01-01,2025-01-14,-0.06739695259151371,-0.06506376909201644,-1517.189649025713,22511.25
APOLLOTYRE.NS,out_of_sample,2025-01-09,2025-01-22,-0.09845903890601912,-0.09629555691783206,-2436.853154261369,24749.91815213013
BHEL.NS,out_of_sample,2025-01-15,2025-01-28,-0.060764857732075114,-0.05859946849655421,-1512.2815990034112,24887.4375
